Sample,T_C,P_bar,final_P,DNNO,DFMQ,logfO2,SiO2,TiO2,Al2O3,Fe2O3,FeO,Fe2O3T,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2ppm,STppm,Fe3FeT,S6ST,wt_g,fS2,Notes,logfS2,,
Hawaii high Si,1200,3000,,,0.6,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,0.8,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,1,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,1.2,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,1.4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,1.5,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,1.6,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,1.8,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,2,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,2.2,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,2.4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,2.6,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,2.8,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,3,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,3.2,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,3.4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,3.6,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,3.8,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,4.2,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,4.4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,4.6,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,4.8,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
Hawaii high Si,1200,3000,,,5,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,2000,,,,,,0,,-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii high Si,1200,4000,,,-5,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,5000,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-4.9,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-4.8,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-4.7,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-4.6,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-4.5,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-4.4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-4.3,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-4.2,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-4.1,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-3.9,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-3.8,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-3.7,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-3.6,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-3.5,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-3.4,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
Hawaii high Si,1200,4000,,,-3.3,,51.28782609,2.503478261,13.70347826,,,,11.03565217,0.017826087,6.699130435,11.03173913,2.274782609,0.431304348,0.210869565,0,0,0.21,,,,,,0,,-17
